script_name,status,stderr,png_files,half_name,note
SMAP_L1C_S0_HIRES_02298_A_20150707T160502_R13080_001.h5_1,Fail,Traceback (most recent call last):,,,
SMAP_L1C_S0_HIRES_02298_A_20150707T160502_R13080_001.h5_2,Fail,Timeout,,,
SMAP_L1C_TB_50719_D_20240730T124417_R19240_001.h5_0,Pass,None,,SMAP_L1C_TB_50719_D_20240,
SMAP_L2B_SSS_32221_20210211T162812_R17000_V5.0.h5_0,Pass,None,,SMAP_L2B_SSS_32221_202102,
SMAP_L2_SM_P_30058_D_20200916T194350_R19240_001.h5_0,Fail,Traceback (most recent call last):,,,
SMAP_L2_SM_P_30058_D_20200916T194350_R19240_001.h5_1,Fail,Traceback (most recent call last):,,,
SMAP_L2_SM_P_30058_D_20200916T194350_R19240_001.h5_2,Fail,Traceback (most recent call last):,,,
SMAP_L2_SM_P_30058_D_20200916T194350_R19240_001.h5_3,Fail,Traceback (most recent call last):,,,
SMAP_L2_SM_P_30058_D_20200916T194350_R19240_001.h5_4,Fail,Traceback (most recent call last):,,,
SMAP_L2_SM_P_30058_D_20200916T194350_R19240_001.h5_5,Fail,Traceback (most recent call last):,,,
SMAP_L2_SM_P_30058_D_20200916T194350_R19240_001.h5_6,Fail,Traceback (most recent call last):,,,
SMAP_L3_SM_P_20200916_R19240_001.h5_0,Pass,None,,SMAP_L3_SM_P_20200,

SMAP_L4_SM_gph_20200915T193000_Vv7032_001.h5_0,Fail,Timeout,,,Failed and not retried

TES-Aura_L2-O3-Nadir_r0000002433_F08_12.he5_0,Pass,None,,TES-Aura_L2-O3-Nadir_r,
TES-Aura_L3-CH4_r0000033028_C01_F01_12.he5_0,Pass,None,,TES-Aura_L3-CH4_r00000,
VNP09GA.A2020305.h30v07.001.2020306101330.h5_0,Fail,Traceback (most recent call last):,,,
VNP09GA.A2020305.h30v07.001.2020306101330.h5_1,Fail,Traceback (most recent call last):,,,
VNP09GA.A2020305.h30v07.001.2020306101330.h5_2,Fail,Traceback (most recent call last):,,,
VNP09GA.A2020305.h30v07.001.2020306101330.h5_3,Fail,Traceback (most recent call last):,,,
VNP09GA.A2020305.h30v07.001.2020306101330.h5_4,Fail,Traceback (most recent call last):,,,
VNP09GA.A2020305.h30v07.001.2020306101330.h5_5,Fail,Traceback (most recent call last):,,,
VNP09GA.A2020305.h30v07.001.2020306101330.h5_6,Fail,Traceback (most recent call last):,,,
VNP46A1.A2020302.h07v07.001.2020303075447.h5_0,Fail,Traceback (most recent call last):,,,
VNP46A1.A2020302.h07v07.001.2020303075447.h5_1,Fail,Traceback (most recent call last):,,,
VNP46A1.A2020302.h07v07.001.2020303075447.h5_2,Fail,Traceback (most recent call last):,,,
VNP46A1.A2020302.h07v07.001.2020303075447.h5_3,Pass,None,,VNP46A1.A2020302.h07v07,
acos_L2s_110101_02_Production_v201201_L2Sub7309_r01_PolB_161206183303.h5_0,Fail,Traceback (most recent call last):,,,
acos_L2s_110101_02_Production_v201201_L2Sub7309_r01_PolB_161206183303.h5_1,Pass,None,,acos_L2s_110101_02_Production_v201201,
oco2_L2StdND_03949a_150330_B8100r_170916014809.h5_0,Fail,Traceback (most recent call last):,,,
oco2_L2StdND_03949a_150330_B8100r_170916014809.h5_1,Pass,None,,oco2_L2StdND_03949a_15033,
